BN(0, leader:0)-false BN(0, leader:1)-false 
BN(0, leader:0)-false BN(0, leader:1)-false 
BN(0, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(0, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-true 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(1, leader:0)-false BN(2, leader:1)-false 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-false BN(2, leader:1)-true 
BN(3, leader:0)-false BN(2, leader:1)-true 
BN(3, leader:0)-false BN(2, leader:1)-true 
BN(3, leader:0)-false BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
BN(3, leader:0)-true BN(2, leader:1)-true 
